,Unnamed: 0,FIPS,State,County,Year,n_crops,area_km2,Month,corn_bu_production_t,corn_tons_production_t,cotton_production_t,oats_production_t,peanuts_production_t,rice_production_t,soybeans_production_t,wheat_production_t
32,51,US37083,NORTH CAROLINA,HALIFAX,2019,4,1909.6247153838544,4,24283.54999954641,,25691.502390434634,,,,27487.730311799765,1524.0721757037493
33,52,US37073,NORTH CAROLINA,GATES,2019,5,870.7916140341629,4,21819.63331549201,,7380.863822336729,,8073.953787954387,,20248.38747720696,8191.887944407653
34,54,US19177,IOWA,VAN BUREN,2021,4,1249.5191032922746,6,194420.8072139416,23314.67554499188,,91.44433054222496,,,77591.60308806052,
35,56,US17007,ILLINOIS,BOONE,2024,4,743.34458545321,9,342713.02990991645,,,,,,96043.76264390234,7048.833812629841
36,59,US37191,NORTH CAROLINA,WAYNE,2024,4,1445.7253956389366,9,33148.56982155655,,2081.447142818264,,12655.242173254348,,52743.78350917618,
37,61,US36123,NEW YORK,YATES,2021,4,975.4061359807296,8,60835.881013508,87089.83861164283,,526.893523600439,,,7293.7739837250865,
38,62,US27039,MINNESOTA,DODGE,2022,4,1139.6653428517457,8,661650.5338788544,48988.03421904909,,528.3450209106331,,,145712.1862271049,
39,63,US37073,NORTH CAROLINA,GATES,2021,5,870.7916140341629,8,22784.879026771054,,5660.839509756784,,6504.522321307073,,25011.11302628117,4327.276356016003
40,64,US37191,NORTH CAROLINA,WAYNE,2024,4,1445.7253956389366,7,33148.56982155655,,2081.447142818264,,12655.242173254348,,52743.78350917618,
41,66,US36069,NEW YORK,ONTARIO,2019,4,1717.2783416885034,9,100537.96119059066,223167.71144233475,,1930.4914225580824,,,25038.32860084731,
42,68,US28015,MISSISSIPPI,CARROLL,2022,4,1624.0427137141864,9,27992.1256270922,,4093.222414747213,,,,13662.218432201467,1415.209877439196
43,69,US22107,LOUISIANA,TENSAS,2024,4,1660.2498751078836,4,239126.92436791828,,13085.248251399336,,,8777.02279757963,114550.35334887644,
44,70,US29023,MISSOURI,BUTLER,2021,4,1802.641188448812,9,146387.13247634514,,,,,218178.1894385427,170478.35908229082,5307.037040396985
45,72,US17003,ILLINOIS,ALEXANDER,2022,4,660.4323943514078,10,19482.7226460796,,,,,,58078.0361241393,3048.1443514074986
46,73,US27117,MINNESOTA,PIPESTONE,2020,5,1207.2691898426226,8,442615.9610272972,437263.5646959567,,3019.114405203618,,,126661.28403080803,696.7187088931425
47,76,US27155,MINNESOTA,TRAVERSE,2021,4,1543.7855409056017,4,666603.7684498916,61688.635683247005,,,,,172220.15585452368,9334.942076185464
48,79,US36123,NEW YORK,YATES,2023,4,975.4061359807296,4,31370.485616568843,85275.46697390027,,389.0012791320046,,,8736.199435730421,
49,80,US36117,NEW YORK,WAYNE,2022,4,1651.0220983581678,5,71123.3681995083,45359.29094356397,,885.4133592183687,,,29120.66478576807,
50,81,US27157,MINNESOTA,WABASHA,2020,5,1461.3897490624822,6,416859.14125790383,325679.7089747893,,5080.240585679165,,,69290.85284538832,
51,82,US36123,NEW YORK,YATES,2021,4,975.4061359807296,7,60835.881013508,87089.83861164283,,526.893523600439,,,7293.7739837250865,
52,83,US27019,MINNESOTA,CARVER,2023,5,936.78990524806,9,249973.23801834328,42093.42199562737,,194.5006395660023,,,68909.83480146238,688.5540365233011
53,85,US36123,NEW YORK,YATES,2021,4,975.4061359807296,4,60835.881013508,87089.83861164283,,526.893523600439,,,7293.7739837250865,
54,87,US36069,NEW YORK,ONTARIO,2021,4,1717.2783416885034,8,121824.16924458636,253104.84346508692,,1000.0816467236984,,,37639.13962496938,
55,88,US13163,GEORGIA,JEFFERSON,2020,4,1366.602072879094,9,67109.97813682177,,5704.384429062605,,20438.896499169925,,5633.623935190645,
56,90,US27079,MINNESOTA,LE SUEUR,2020,4,1262.1918582485953,6,401364.4074715824,41276.954758643216,,,,,133818.98014170243,
57,94,US37083,NORTH CAROLINA,HALIFAX,2019,4,1909.6247153838544,9,24283.54999954641,,25691.502390434634,,,,27487.730311799765,1524.0721757037493
58,96,US22041,LOUISIANA,FRANKLIN,2022,4,1650.053000014804,9,295288.9840426014,,5813.246727327159,,,4508.713519790259,98547.59550398708,
59,97,US36069,NEW YORK,ONTARIO,2019,4,1717.2783416885034,7,100537.96119059066,223167.71144233475,,1930.4914225580824,,,25038.32860084731,
60,101,US13163,GEORGIA,JEFFERSON,2023,4,1366.602072879094,5,76203.60878518748,,5769.701808021337,,18665.34822327657,,4082.336184920757,
61,102,US37079,NORTH CAROLINA,GREENE,2021,4,686.1747057306366,7,42038.990846495086,,2220.790884596892,,,,28766.86231640827,11729.912638005642
62,103,US36011,NEW YORK,CAYUGA,2020,4,1915.8763779598128,8,118674.42008146529,564269.5793379358,,1246.8361894566865,,,45912.67429307545,
63,104,US37079,NORTH CAROLINA,GREENE,2024,4,686.1747057306366,8,15164.518148252306,,1611.1620143153923,,10863.550180983571,,36468.86991862543,
64,105,US27143,MINNESOTA,SIBLEY,2019,4,1502.9567886293812,9,709328.5917754534,,,329.48988941404866,,,145875.47967450172,666.7815768703904
65,107,US28119,MISSISSIPPI,QUITMAN,2019,4,1051.7949997743856,4,31497.49163121082,,18615.453003238654,,,35108.09119031852,96343.13396412988,
66,108,US36121,NEW YORK,WYOMING,2019,4,1515.9040249607046,4,75365.3690885504,523446.2174887282,,2075.641153577488,,,4789.941123640355,
67,110,US05111,ARKANSAS,POINSETT,2024,4,1976.6125236062207,5,113568.77829285772,,17809.871996080958,,,394761.9090818373,274305.77605210873,
68,112,US27037,MINNESOTA,DAKOTA,2023,4,1566.226685717247,7,386022.08090283134,23496.112708766137,,,,,60500.222260525625,1096.787655015377
69,113,US27139,MINNESOTA,SCOTT,2021,4,1019.2749316773704,4,169502.2271411853,34745.21686277,,,,,55791.92786058368,117.02697063439504
70,114,US26023,MICHIGAN,BRANCH,2022,4,1350.0949415248183,10,344135.4972739066,,,159.66470412134518,,,109161.66958478103,5007.665720169463
71,115,US17037,ILLINOIS,DE KALB,2022,5,1644.8547805290843,6,1038858.3973655323,,,3802.922952708403,,,231550.10840870536,11648.265914307229
72,116,US28015,MISSISSIPPI,CARROLL,2022,4,1624.0427137141864,5,27992.1256270922,,4093.222414747213,,,,13662.218432201467,1415.209877439196
73,117,US37065,NORTH CAROLINA,EDGECOMBE,2024,4,1314.2742424335902,5,11582.948535348496,,9275.06781213996,,15739.673957416697,,42891.74551623409,
